Date,BDRY_Price_USD
2020-02-24,8.1899995803833
2020-03-02,8.25
2020-03-09,6.840000152587891
2020-03-16,5.820000171661377
2020-03-23,5.400000095367432
2020-03-30,6.239999771118164
2020-04-06,7.349999904632568
2020-04-13,7.25
2020-04-20,6.019999980926514
2020-04-27,5.349999904632568
2020-05-04,4.599999904632568
2020-05-11,4.170000076293945
2020-05-18,4.880000114440918
2020-05-25,4.650000095367432
2020-06-01,5.449999809265137
2020-06-08,6.360000133514404
2020-06-15,7.275000095367432
2020-06-22,7.610000133514404
2020-06-29,8.050000190734863
2020-07-06,8.489999771118164
2020-07-13,8.0
2020-07-20,7.389999866485596
2020-07-27,8.149999618530273
2020-08-03,8.5
2020-08-10,8.850000381469727
2020-08-17,8.109999656677246
2020-08-24,8.770000457763672
2020-08-31,7.769999980926514
2020-09-07,7.690000057220459
2020-09-14,7.570000171661377
2020-09-21,8.210000038146973
2020-09-28,8.649999618530273
2020-10-05,7.880000114440918
2020-10-12,7.0
2020-10-19,7.389999866485596
2020-10-26,6.769999980926514
2020-11-02,6.800000190734863
2020-11-09,6.309999942779541
2020-11-16,6.610000133514404
2020-11-23,6.619999885559082
2020-11-30,6.539999961853027
2020-12-07,7.179999828338623
2020-12-14,7.460000038146973
2020-12-21,7.559999942779541
2020-12-28,7.699999809265137
2021-01-04,10.34000015258789
2021-01-11,11.039999961853027
2021-01-18,11.0
2021-01-25,10.34000015258789
2021-02-01,10.239999771118164
2021-02-08,12.430000305175781
2021-02-15,14.5
2021-02-22,12.710000038146973
2021-03-01,16.25
2021-03-08,16.59000015258789
2021-03-15,19.56999969482422
2021-03-22,18.420000076293945
2021-03-29,17.93000030517578
2021-04-05,17.520000457763672
2021-04-12,19.790000915527344
2021-04-19,20.920000076293945
2021-04-26,24.700000762939453
2021-05-03,25.899999618530273
2021-05-10,22.950000762939453
2021-05-17,26.860000610351562
2021-05-24,23.0
2021-05-31,23.5
2021-06-07,27.81999969482422
2021-06-14,27.06999969482422
2021-06-21,29.959999084472656
2021-06-28,26.8700008392334
2021-07-05,26.790000915527344
2021-07-12,24.510000228881836
2021-07-19,27.09000015258789
2021-07-26,25.799999237060547
2021-08-02,26.600000381469727
2021-08-09,27.969999313354492
2021-08-16,29.979999542236328
2021-08-23,30.0
2021-08-30,27.360000610351562
2021-09-06,30.1200008392334
2021-09-13,30.729999542236328
2021-09-20,32.47999954223633
2021-09-27,36.900001525878906
2021-10-04,39.22999954223633
2021-10-11,35.29999923706055
2021-10-18,32.20000076293945
2021-10-25,30.040000915527344
2021-11-01,23.049999237060547
2021-11-08,22.6299991607666
2021-11-15,24.790000915527344
2021-11-22,24.729999542236328
2021-11-29,29.59000015258789
2021-12-06,28.139999389648438
2021-12-13,23.950000762939453
2021-12-20,26.770000457763672
2021-12-27,29.489999771118164
2022-01-03,26.860000610351562
2022-01-10,23.190000534057617
2022-01-17,20.110000610351562
2022-01-24,22.010000228881836
2022-01-31,21.700000762939453
2022-02-07,24.729999542236328
2022-02-14,23.56999969482422
2022-02-21,22.610000610351562
2022-02-28,24.899999618530273
2022-03-07,27.049999237060547
2022-03-14,26.350000381469727
2022-03-21,24.389999389648438
2022-03-28,23.959999084472656
2022-04-04,22.450000762939453
2022-04-11,22.15999984741211
2022-04-18,22.309999465942383
2022-04-25,21.479999542236328
2022-05-02,23.75
2022-05-09,23.1200008392334
2022-05-16,25.420000076293945
2022-05-23,21.479999542236328
2022-05-30,22.010000228881836
2022-06-06,19.850000381469727
2022-06-13,20.15999984741211
2022-06-20,16.899999618530273
2022-06-27,17.110000610351562
2022-07-04,15.289999961853027
2022-07-11,15.989999771118164
2022-07-18,14.600000381469727
2022-07-25,12.420000076293945
2022-08-01,11.100000381469727
2022-08-08,10.539999961853027
2022-08-15,9.3100004196167
2022-08-22,7.920000076293945
2022-08-29,8.779999732971191
2022-09-05,8.630000114440918
2022-09-12,9.069999694824219
2022-09-19,10.270000457763672
2022-09-26,9.039999961853027
2022-10-03,9.699999809265137
2022-10-10,9.210000038146973
2022-10-17,8.8100004196167
2022-10-24,7.710000038146973
2022-10-31,7.71999979019165
2022-11-07,8.199999809265137
2022-11-14,7.090000152587891
2022-11-21,7.820000171661377
2022-11-28,7.699999809265137
2022-12-05,9.1899995803833
2022-12-12,9.029999732971191
2022-12-19,9.460000038146973
2022-12-26,9.1899995803833
2023-01-02,10.039999961853027
2023-01-09,9.359999656677246
2023-01-16,8.949999809265137
2023-01-23,8.270000457763672
2023-01-30,7.110000133514404
2023-02-06,7.230000019073486
2023-02-13,6.599999904632568
2023-02-20,7.949999809265137
2023-02-27,9.390000343322754
2023-03-06,10.1899995803833
2023-03-13,9.970000267028809
2023-03-20,9.760000228881836
2023-03-27,10.100000381469727
2023-04-03,9.8100004196167
2023-04-10,9.1899995803833
2023-04-17,9.15999984741211
2023-04-24,8.760000228881836
2023-05-01,8.300000190734863
2023-05-08,7.71999979019165
2023-05-15,7.409999847412109
2023-05-22,6.570000171661377
2023-05-29,6.139999866485596
2023-06-05,6.329999923706055
2023-06-12,6.139999866485596
2023-06-19,6.159999847412109
2023-06-26,5.550000190734863
2023-07-03,5.010000228881836
2023-07-10,5.079999923706055
2023-07-17,4.730000019073486
2023-07-24,4.760000228881836
2023-07-31,4.889999866485596
2023-08-07,5.329999923706055
2023-08-14,5.329999923706055
2023-08-21,4.940000057220459
2023-08-28,4.860000133514404
2023-09-04,5.300000190734863
2023-09-11,5.480000019073486
2023-09-18,5.53000020980835
2023-09-25,5.489999771118164
2023-10-02,5.909999847412109
2023-10-09,5.869999885559082
2023-10-16,5.760000228881836
2023-10-23,5.059999942779541
2023-10-30,5.150000095367432
2023-11-06,5.699999809265137
2023-11-13,6.420000076293945
2023-11-20,7.519999980926514
2023-11-27,10.039999961853027
2023-12-04,8.699999809265137
2023-12-11,9.920000076293945
2023-12-18,10.4399995803833
2023-12-25,11.5600004196167
2024-01-01,10.609999656677246
2024-01-08,9.5
2024-01-15,11.050000190734863
2024-01-22,11.0600004196167
2024-01-29,11.170000076293945
2024-02-05,12.350000381469727
2024-02-12,12.819999694824219
2024-02-19,14.336999893188477
2024-02-26,16.100000381469727
2024-03-04,16.84000015258789
2024-03-11,15.6899995803833
2024-03-18,14.729999542236328
2024-03-25,13.859999656677246
2024-04-01,12.850000381469727
2024-04-08,13.670000076293945
2024-04-15,13.609999656677246
2024-04-22,12.819999694824219
2024-04-29,13.449999809265137
2024-05-06,13.739999771118164
2024-05-13,12.729999542236328
2024-05-20,12.260000228881836
2024-05-27,11.9399995803833
2024-06-03,11.84000015258789
2024-06-10,11.770000457763672
2024-06-17,11.779999732971191
2024-06-24,12.239999771118164
2024-07-01,11.329999923706055
2024-07-08,12.079999923706055
2024-07-15,11.760000228881836
2024-07-22,11.0600004196167
2024-07-29,10.9399995803833
2024-08-05,10.710000038146973
2024-08-12,10.6899995803833
2024-08-19,10.40999984741211
2024-08-26,11.109999656677246
2024-09-02,10.739999771118164
2024-09-09,10.270000457763672
2024-09-16,10.399999618530273
2024-09-23,10.449999809265137
2024-09-30,10.260000228881836
2024-10-07,9.40999984741211
2024-10-14,8.220000267028809
2024-10-21,7.809999942779541
2024-10-28,7.46999979019165
2024-11-04,8.149999618530273
2024-11-11,8.5
2024-11-18,7.230000019073486
2024-11-25,6.650000095367432
2024-12-02,6.489999771118164
2024-12-09,6.099999904632568
